"avg_selling_usd","age_bucket","mileage_bucket","num_listings"
"1194.20","0-3 years","Low (<12k)","244"
"806.37","4-7 years","Low (<12k)","114"
"765.07","0-3 years","Med (12-30k)","98"
"579.55","0-3 years","High (30-50k)","10"
"541.02","4-7 years","Med (12-30k)","196"
"486.36","13+ years","Low (<12k)","10"
"486.05","8-12 years","Low (<12k)","33"
"474.19","4-7 years","High (30-50k)","52"
"405.28","8-12 years","Med (12-30k)","117"
"318.49","13+ years","Med (12-30k)","26"
"314.09","8-12 years","High (30-50k)","73"
"268.27","8-12 years","Very High (>50k)","24"
"242.04","Unknown Age","High (30-50k)","13"
"158.86","13+ years","High (30-50k)","20"
